name	gender	meaning
ÀLex	Catalan short form of ALEXANDER.	0
ÀNgel	Catalan form of Angelus (see ANGEL).	0
ÂNgela	Portuguese feminine form of Angelus (see ANGEL).	1
ÂViâja	Means "cousin" in Greenlandic.	1
ÅGe	Norwegian form of ÁKI.	0
ÅGot	Norwegian form of AGATHA.	1
ÅKe	Swedish form of ÁKI.	0
ÅSe	Danish and Norwegian form of ÅSA, as well as a Swedish variant.	1
ÅSmund	From the Old Norse name Ásmundr, cognate of OSMOND.	0
ĄŽUolas	Means "oak" in Lithuanian.	0
Aabraham	Finnish form of ABRAHAM.	0
Aada	Finish short form of ADELE and other names beginning with the same sound.	1
Aadolf	Finnish form of ADOLF.	0
Aali	Means "high, lofty, sublime" in Arabic.	0
Aage	Danish and Norwegian form of ÁKI.	0
Aalis	Old French form of ALICE.	1
Aaliyah	Feminine form of AALI. It was popularized in the English-speaking world by the singer Aaliyah Haughton (1979-2001), who was known simply as Aaliyah.	1
Aamina	Variant transcription of AMINAH  (1).	1
Aaminah	Variant transcription of AMINAH  (1).	1
Aamir	Variant of AMIR  (1).	0
Aamu	Means "morning" in Finnish.	1
Aapeli	Finnish form of ABEL.	0
Aapo	Finnish form of ABRAHAM.	0
Aaren	Variant or feminine form of AARON.	0
Aarne	Finnish form of ARNE  (1).	0
Aarón	Spanish form of AARON.	0
Aaron	From the Hebrew name אַהֲרֹן ('Aharon) which is most likely of unknown Egyptian origin. Other theories claim a Hebrew derivation, and suggest meanings such as "high mountain" or "exalted". In the Old Testament this name is borne by the older brother of Moses and the first high priest of the Israelites. He acted as a spokesman for his brother, and carried a miraculous rod. As an English name, Aaron has been in use since the Protestant Reformation.	0
Aart	Dutch short form of ARNOLD.	0
Aatami	Finnish form of ADAM.	0
Aatos	Means "thought" in Finnish.	0
Aatto	Finnish form of ADOLF. It also means "eve, evening before" in Finnish, as the day before an important holiday.	0
Aatu	Finnish form of ADOLF.	0
Aava	Means "wide, open" in Finnish.	1
Abacuc	Biblical Latin form of HABAKKUK.	0
Abaddon	Means "ruin, destruction" in Hebrew. In Revelation in the New Testament this is another name of the angel of the abyss.	0
Abbán	Means "little abbot", derived from Irish abb "abbot" combined with a diminutive suffix. This was the name of a 6th-century Irish saint, the son of king Cormac of Leinster.	0
Abbas	Means "austere" in Arabic. This was the name of the Prophet Muhammad's uncle. It was also borne by a son of Ali, the fourth caliph.	0
Abbe	Originally a short form of Germanic names beginning with the element adal meaning "noble".	0
Abbey	Diminutive of ABIGAIL.	1
Abbi	Diminutive of ABIGAIL.	1
Abbie	Diminutive of ABIGAIL.	1
Abby	Diminutive of ABIGAIL.	1
Abd Al-Aziz	Means "servant of the powerful" from Arabic عبد ال ('abd al) "servant of the" combined with عزيز ('aziz) "powerful". This was the name of the first king of modern Saudi Arabia.	0
Abd Al-Hamid	Means "servant of the praised" from Arabic عبد ال ('abd al) "servant of the" combined with حميد (hamid) "praised". This was the name of two sultans of the Ottoman Empire.	0
Abd Al-Kader	Variant transcription of ABD AL-QADIR.	0
Abd Al-Karim	Means "servant of the generous" from Arabic عبد ال ('abd al) "servant of the" combined with كريم (karim) "generous".	0
Abd Al-Latif	Means "servant of the gentle" from Arabic عبد ال ('abd al) "servant of the" combined with لطيف (latif) "gentle".	0
Abd Al-Malik	Means "servant of the king" from Arabic عبد ال ('abd al) "servant of the" combined with ملك (malik) "king". This was the name of the fifth Umayyad caliph, who made Arabic the official language of the empire.	0
Abd Al-Qadir	Means "servant of the capable, powerful" from Arabic عبد ال ('abd al) "servant of the" combined with قادر (qadir) "capable". This was the name of a 19th-century Algerian resistance leader.	0
Abd Al-Rahman	Means "servant of the merciful" from Arabic عبد ال ('abd al) "servant of the" combined with رحمن (rahman) "merciful". This was the name of two early caliphs of the Umayyad dynasty in Spain.	0
Abd Al-Rashid	Means "servant of the rightly guided" from Arabic عبد ال ('abd al) "servant of the" combined with رشد (rashid) "rightly guided".	0
Abd Al-Wali	Means "servant of the guardian" from Arabic عبد ال ('abd al) "servant of the" combined with ولِي (wali) "guardian, friend".	0
Abd Allah	Means "servant of ALLAH" from Arabic عبد ('abd) "servant of" combined with الله (Allah). This was the name of the Prophet Muhammad's father. He died before his son's birth.	0
Abdias	Form of OBADIAH used in the Latin Old Testament.	0
Abdiou	Form of OBADIAH used in the Greek Old Testament.	0
Abdollah	Persian form of ABD ALLAH.	0
Abdülhami̇t	Turkish form of ABD AL-HAMID.	0
Abdülkadi̇r	Turkish form of ABD AL-QADIR.	0
Abdülkeri̇m	Turkish form of ABD AL-KARIM.	0
Abdüllati̇f	Turkish form of ABD AL-LATIF.	0
Abdul	First part of compound Arabic names beginning with عبد ال ('Abd al) meaning "servant of the" (such as عبد العزيز ('Abd al-'Aziz) "servant of the powerful").	0
Abdul-Aziz	Variant transcription of ABD AL-AZIZ.	0
Abdul-Hamid	Variant transcription of ABD AL-HAMID.	0
Abdul-Rahman	Variant transcription of ABD AL-RAHMAN.	0
Abdulah	Bosnian form of ABD ALLAH.	0
Abdullah	Variant transcription of ABD ALLAH, as well as the regular Turkish form.	0
Abdullo	Tajik form of ABD ALLAH.	0
Abdullohi	Tajik variant form of ABD ALLAH.	0
Abdur-Rahman	Variant transcription of ABD AL-RAHMAN.	0
Abdur-Rashid	Variant transcription of ABD AL-RASHID.	0
Abdurakhman	Chechen form of ABD AL-RAHMAN.	0
Abe  (1)	Short form of ABRAHAM.	0
Abduweli	Uyghur form of ABD AL-WALI.	0
Abe  (2)	Variant of ABBE.	0
Abednego	Means "servant of Nebo" in Akkadian, Nebo being the Babylonian god of wisdom. In the Old Testament, Abednego is the Babylonian name given to Azariah, one of the three men cast into a blazing furnace but saved from harm by God.	0
Abegail	Variant of ABIGAIL.	1
Abel	From the Hebrew name הֶבֶל (Hevel) or הָבֶל (Havel) which meant "breath". In the Old Testament he is the second son of Adam and Eve, murdered out of envy by his brother Cain. In England, this name came into use during the Middle Ages, and it was common during the Puritan era.	0
Abele	Italian form of ABEL.	0
Abelone	Danish form of APOLLONIA.	1
Abena	Means "born on Tuesday" in Akan.	1
Abene	Derived from Basque abe meaning "pillar". It is a Basque equivalent of Pilar.	1
Abeni	Means "we asked for her, and behold, we got her" in Yoruba.	1
Abenner	Biblical Greek form of ABNER.	0
Aberash	Possibly means "giving off light" in Amharic.	1
Abessa	Biblical Greek form of ABISHAI.	0
Abessalom	Biblical Greek form of ABSALOM.	0
Abha	Means "splendour, light" in Sanskrit.	1
Abhay	Means "fearless" in Sanskrit.	0
Abhilasha	Means "desire, wish" in Sanskrit.	1
Abi	Short form of ABIGAIL.	1
Abílio	Portuguese form of AVILIUS.	0
Abia	Biblical Greek and Latin form of 'AVIYAH.	0
Abiah	Variant of ABIJAH which also appears in the English Bible.	0
Abidan	Means "my father is judge" in Hebrew. In the Old Testament he is a Benjamite prince.	0
Abidemi	Means "born during father's absence" in Yoruba.	0
Abiel	Means "God is my father" in Hebrew. This was the name of the grandfather of Saul in the Old Testament.	0
Abigaíl	Spanish form of ABIGAIL.	1
Abigaia	Greek form of ABIGAIL.	1
Abigail	From the Hebrew name אֲבִיגָיִל ('Avigayil) meaning "my father is joy". In the Old Testament this is the name of Nabal's wife. After Nabal's death she became the third wife of King David.As an English name, Abigail first became common after the Protestant Reformation, and it was popular among the Puritans. The biblical Abigil refers to herself as a servant, and beginning in the 17th century the name became a slang term for a servant, especially after the release of the play 'The Scornful Lady' (1616) which featured a character named Abigail. The name went out of fashion at that point, but it was revived in the 20th century.	1
Abigayle	Variant of ABIGAIL.	1
Abigél	Hungarian form of ABIGAIL.	1
Abihu	Means "he is my father" in Hebrew. This is the name of a son of Aaron in the Old Testament. He and his brother Nadab were killed by God because they presented him with unauthorized fire.	0
Abijah	Means "my father is YAHWEH" in Hebrew. In the Old Testament this is the name of several characters, both male and female, including the second king of Judah.	0
Abilene	From a place name mentioned briefly in the New Testament. It possibly means "grass" in Hebrew.	1
Abilio	Spanish form of AVILIUS.	0
Abimael	Means "my father is God" in Hebrew. In the Old Testament he is listed as a descendant of Shem.	0
Abimbola	Means "born wealthy" in Yoruba.	0
Abimelech	Means "my father is king" in Hebrew. This is the name of several characters in the Old Testament including a king of Gerar who takes Abraham's wife Sarah, but is forced by God to give her back.	0
Abiodun	Means "born on a festival" in Yoruba.	0
Abiram	Means "my father is exalted" in Hebrew. In the Old Testament, Abiram is swallowed by an earthquake after rebelling against the leadership of Moses.	0
Abioye	Means "born into royalty" in Yoruba.	0
Abisai	Biblical Latin form of ABISHAI.	0
Abishag	Means "my father strays" in Hebrew. In the Old Testament she is a young woman who tends King David in his old age.	1
Abishai	Means "my father is a gift" in Hebrew. In the Old Testament he is one of King David's heroes.	0
Abital	Means "my father is the night dew" in Hebrew. She is the fifth wife of David in the Old Testament.	1
Abner	Means "my father is a light" in Hebrew. In the Old Testament, Abner was a cousin of Saul and the commander of his army. It has been used as an English Christian given name since the Protestant Reformation. It was popular with the Puritans, who brought it to America in the 17th century.	0
Abolfazl	Persian form of ABU AL-FADL.	0
Aboubacar	Form of ABU BAKR used in western Africa.	0
Abraão	Portuguese form of ABRAHAM.	0
Abraam	Biblical Greek form of ABRAHAM, as well as a Georgian form.	0
Abraham	This name may be viewed either as meaning "father of many" in Hebrew or else as a contraction of ABRAM  (1) and הָמוֹן (hamon) "many, multitude". The biblical Abraham was originally named Abram but God changed his name (see Genesis 17:5). He led his followers from Ur into Canaan, and is regarded by the Jews as being the founder of the Hebrews through his son Isaac and by the Muslims as being the founder of the Arabs through his son Ishmael.As an English Christian name, Abraham became common after the Protestant Reformation. A famous bearer was Abraham Lincoln (1809-1865), the American president during the Civil War.	0
Abram  (1)	Means "high father" in Hebrew. In the Old Testament God changed Abram's name to Abraham (see Genesis 17:5).	0
Abram  (2)	Russian and Georgian form of ABRAHAM.	0
Abramo	Italian form of ABRAHAM.	0
Absalom	From the Hebrew name אַבְשָׁלוֹם ('Avshalom) which meant "my father is peace". In the Old Testament he is a son of King David who leads a revolt against his father. While fleeing on the back of a mule he got his head caught in a tree and was killed by Joab.	0
Absolon	French form of ABSALOM.	0
Abu	Means "father of" in Arabic. This is commonly used as an element in a kunya, which is a type of Arabic nickname. The element is combined with the name of one of the bearer's children (usually the eldest son). In some cases the kunya is figurative, not referring to an actual child, as in the case of the Muslim caliph Abu Bakr.	0
Abu Al-Fadl	Combination of ABU and FADL. This was another name for Abbas, the son of the fourth caliph Ali.	0
Abu Bakr	Combination of ABU and BAKR. Abu Bakr was a companion and father-in-law of the Prophet Muhammad and the first caliph of the Muslim world. His name was in fact a kunya (a nickname) formed using Abu; his real name was Abd Allah.	0
Abubakar	Form of ABU BAKR used in western Africa.	0
Abul-Fazl	Variant transcription of ABU AL-FADL.	0
Aca	Serbian and Macedonian diminutive of ALEKSANDAR.	0
Acacia	From the name of a type of tree, ultimately deriving from Greek ακη (ake) "thorn, point".	1
Acacius	Latinized form of AKAKIOS.	0
Acantha	Latinized form of Greek Ακανθα (Akantha), which meant "thorn, prickle". In Greek legend she was a nymph loved by Apollo.	1
Ace  (1)	From the English word meaning "highest rank". More commonly a nickname, it is occasionally used as a given name.	0
Achaab	Biblical Greek form of AHAB.	0
Achab	Latin form of AHAB used in some versions of the Vulgate.	0
Ace  (2)	Macedonian diminutive of ALEXANDER.	0
Achaicus	Latinized form of the Greek name Αχαικος (Achaikos), which referred to the region in Greece called Αχαια (Achaia), situated on the northern coast of the Peloponnese. In the New Testament this is the name of a Corinthian Christian who aids Saint Paul.	0
Achaikos	Greek form of ACHAICUS.	0
Achan	Possibly a variation of the Hebrew word עֲכָר ('akhar) meaning "trouble". In the Old Testament, Achan is stoned to death because he steals forbidden items during the assault on Jericho.	0
Achieng	Feminine form of OCHIENG.	1
Achille	French and Italian form of ACHILLES.	0
Achilles	From the Greek Αχιλλευς (Achilleus) which is of unknown meaning, perhaps derived from Greek αχος (achos) "pain" or else from the name of the Achelous River. This was the name of a warrior in Greek legend, one of the central characters in Homer's 'Iliad'. The bravest of the Greek heroes in the war against the Trojans, he was eventually killed by an arrow to his heel, the only vulnerable part of his body.	0
Achilleus	Original Greek form of ACHILLES.	0
Achim  (1)	German short form of JOACHIM.	0
Achim  (2)	Possibly means "he will establish" in Hebrew. In the New Testament this name is listed as an ancestor of Jesus.	0
Achinoam	Hebrew form of AHINOAM.	1
Acke	Swedish short form of AXEL.	0
Aco	Macedonian and Serbian diminutive of ALEKSANDAR.	0
Ad	Short form of ADRIAAN.	0
Ada	Short form of ADELAIDE and other names beginning with the same sound. This name was borne by Augusta Ada King (1815-1852), the Countess of Lovelace (known as Ada Lovelace), a daughter of Lord Byron. She was an assistant to Charles Babbage, the inventor of an early mechanical computer.	1
Adán	Spanish form of ADAM.	0
Adão	Portuguese form of ADAM.	0
Adad	Akkadian cognate of HADAD.	0
Adaeze	Means "king's daughter" in Igbo.	1
Adah	Means "adornment" in Hebrew. This was the name of the wives of both Lamech and Esau in the Old Testament.	1
Adair	From an English surname which was derived from the given name EDGAR.	0
Adalberht	Old Germanic form of ALBERT.	0
Adalbern	Derived from the Germanic elements adal "noble" and bern "bear".	0
Adalbert	Old Germanic form of ALBERT. This is the name of a patron saint of Bohemia, Poland and Prussia.	0
Adalberto	Variant of ALBERTO.	0
Adalet	Means "justice" in Turkish, ultimately from Arabic.	1
Adalhard	Derived from the Germanic elements adal "noble" and hard "brave, hardy".	0
Adalfuns	Old Germanic form of ALFONSO.	0
Adalia	Possibly means "YAHWEH is just" in Hebrew. In the Old Testament this is the name of a son of Haman.	0
Adalheidis	Old Germanic form of ADELAIDE.	1
Adalwin	From the Germanic elements adal "noble" and win "friend".	0
Adalwolf	Older form of ADOLF.	0
Adalyn	Variant of ADELINE using the popular name suffix lyn.	1
Adalynn	Variant of ADELINE using the popular name suffix lyn.	1
Adam	This is the Hebrew word for "man". It could be ultimately derived from Hebrew אדם ('adam) meaning "to be red", referring to the ruddy colour of human skin, or from Akkadian adamu meaning "to make". According to Genesis in the Old Testament Adam was created from the earth by God (there is a word play on Hebrew אֲדָמָה ('adamah) "earth"). He and Eve were supposedly the first humans, living happily in the Garden of Eden until Adam ate a forbidden fruit given to him by Eve.As an English Christian name, Adam has been common since the Middle Ages, and it received a boost after the Protestant Reformation. A famous bearer was Scottish economist Adam Smith (1723-1790).	0
Adamina	Feminine form of ADAM.	1
Adamo	Italian form of ADAM.	0
Adamu	Old Slavic form of ADAM.	0
Adanna	Means "father's daughter" in Igbo.	1
Adannaya	Means "her father's daughter" in Igbo.	1
Adara	Means "noble" in Hebrew.	1
Adde	Originally a short form of Germanic names beginning with the element adal meaning "noble".	0
Addie	Diminutive of ADELAIDE.	1
Addison	From an English surname meaning "son of ADAM". Its recent popularity as a feminine name stems from its similarity in sound to Madison.	0
Addy  (1)	Diminutive of ADELAIDE.	1
Addy  (2)	Medieval diminutive of ADAM.	0
Addyson	Feminine variant of ADDISON.	1
Ade  (1)	Means "crown" in Yoruba, also a short form of other Yoruba names beginning with this element.	0
Ade  (2)	Variant of ADDE.	0
Adéla	Czech form of ADELA.	1
Adélaïde	French form of ADELAIDE.	1
Adèle	French form of ADELA.	1
Adebayo	Means "the crown meets joy" in Yoruba.	0
Adebola	Means "the crown has met wealth" in Yoruba.	0
Adebowale	Means "the crown has come home" in Yoruba.	0
Adedayo	Means "the crown becomes joy" in Yoruba.	0
Adegoke	Means "the crown has been exalted" in Yoruba.	0
Adel	Variant transcription of ADIL.	0
Adela	Originally a short form of names beginning with the Germanic element adal meaning "noble". Saint Adela was a 7th-century Frankish princess who founded a monastery at Pfazel in France. This name was also borne by a daughter of William the Conqueror.	1
Adelaida	Spanish and Hungarian form of ADELAIDE.	1
Adelaide	From the French form of the Germanic name Adalheidis, which was composed of the elements adal "noble" and heid "kind, sort, type". It was borne in the 10th century by Saint Adelaide, the wife of the Holy Roman Emperor Otto the Great. The name became common in Britain in the 19th century due to the popularity of the German-born wife of King William IV, for whom the city of Adelaide in Australia was named in 1836.	1
Adelais	Shortened form of ADALHEIDIS.	1
Adelajda	Polish form of ADELAIDE.	1
Adelbert	German and Dutch variant of ADALBERT.	0
Adele	Form of ADÈLE.	1
Adelheid	German and Dutch form of ADELAIDE.	1
Adelia	Elaborated form of ADELA.	1
Adelina	Latinate diminutive of ADELA.	1
Adeline	Diminutive of ADÈLE.	1
Adelita	Spanish diminutive of ADELA. It is used especially in Mexico, where it is the name of a folk song about a female soldier.	1
Adelle	Variant of ADELE.	1
Adella	Variant of ADELA.	1
Adelmar	From the Germanic elements adal "noble" and meri "famous".	0
Adelyn	Variant of ADELINE using the popular name suffix lyn.	1
Adem	Turkish form of ADAM.	0
Aden	Variant of AIDAN.	0
Adena	Possibly a variant of ADINA  (2).	1
Adeodatus	Latin name meaning "given by God". This was the name of a son of Saint Augustine and two popes (who are also known by the related name Deusdedit).	0
Aderyn	Means "bird" in Welsh. This is a modern Welsh name.	1
Adetokunbo	Means "the crown came from over the sea" in Yoruba.	0
Adhara	Derived from Arabic عذارى ('adhara) meaning "maidens". This is the name of the second brightest star (after Sirius) in the constellation Canis Major.	1
Adhiambo	Feminine form of ODHIAMBO.	1
Adi  (1)	Means "jewel" or "ornament" in Hebrew.	0
Adi  (2)	Means "superior" in Javanese.	0
Adi̇l	Turkish form of ADIL.	0
Adi̇le	Turkish feminine form of ADIL.	1
Adil	Means "fair, honest, just" from Arabic عدل ('adala) "to act justly".	0
Adila	Feminine form of ADIL.	1
Adilet	Means "justice" in Kyrgyz, ultimately from Arabic.	0
Adina  (1)	Possibly related to Hebrew עֲדִינָא ('adina') "slender, delicate". This is the name of a soldier in the Old Testament.	0
Adina  (2)	Means "delicate, gentle" in Hebrew.	1
Adino	Means "ornament" in Hebrew. In the Old Testament this is the name of one of King David's mighty men.	0
Adir	Means "strong, mighty" in Hebrew. This word is used in the Hebrew Bible to describe God.	0
Adisa	Means "one who is clear" in Yoruba.	0
Aditi	Means "boundless, entire" or "freedom, security" in Sanskrit. This is the name of the ancient Hindu mother goddess of the sky and fertility.	1
Aditya	Means "belonging to ADITI" in Sanskrit. This is a name for the seven (or eight) Hindu gods who are the children of Aditi.	0
Adjoa	Variant of ADWOA.	1
Adlai	Contracted form of ADALIA. This is the name of the father of one of King David's herdsmen in the Old Testament.	0
Adnan	Means "settler" in Arabic. According to tradition, Adnan was an ancestor of the Prophet Muhammad and the northern Arabian tribes.	0
Adolf	From the Germanic name Adalwolf, which meant "noble wolf" from the Germanic elements adal "noble" and wulf. It was borne by several Swedish kings as a first or second name, most notably by Gustav II Adolf in the 17th century. Association with Adolf Hitler (1889-1945), the leader of the Nazi party in Germany during World War II, has lessened the use of this name.	0
Adolfito	Spanish diminutive of ADOLFO.	0
Adolfo	Italian and Spanish form of ADOLF.	0
Adolph	English form of ADOLF, rarely used since World War II.	0
Adolphe	French form of ADOLF.	0
Adolphus	Latinized form of ADOLF.	0
Adomas	Lithuanian form of ADAM.	0
Adonai	Means "my lord" in Hebrew. This was the title used to refer to the God of the Israelites, Yahweh, whose name was forbidden to be spoken.	0
Adonijah	Means "my lord is YAHWEH" in Hebrew. This is the name of one of King David's sons in the Old Testament.	0
Adoniram	Means "my lord is exalted" in Hebrew. In the Old Testament this is the name of an overseer of tribute under the kings David, Solomon and Rehoboam. He was stoned to death when the Israelites revolted.	0
Adonis	From the Semitic Adonai, which means "lord". In Greek myth Adonis was a handsome young shepherd killed while hunting a wild boar. The anemone flower is said to have sprung from his blood. Because he was loved by Aphrodite, Zeus allowed him to be restored to life for part of each year. The Greeks borrowed this character from various Semitic traditions, hence the Semitic origins of the name.	0
Adora	Short form of ADORACIÓN.	1
Adorinda	Means "adorable" in Esperanto.	1
Adoración	Means "adoration" in Spanish. This name refers to the event that is known in Christian tradition as the Adoration of the Magi, which is when the three Magi presented gifts to the infant Jesus and worshipped him.	1
Adorján	Hungarian form of ADRIAN.	0
Adrastea	Latinized form of ADRASTEIA. One of Jupiter's moons bears this name.	1
Adrastos	Means "not inclined to run away" in Greek. This was the name of a king of Argos in Greek legend.	0
Adrasteia	Feminine form of ADRASTOS. In Greek mythology this name was borne by a nymph who fostered the infant Zeus. This was also another name of the goddess Nemesis.	1
Adrián	Spanish and Hungarian form of Hadrianus (see HADRIAN).	0
Adrià	Catalan form of ADRIAN.	0
Adriaan	Dutch form of ADRIAN.	0
Adrian	Form of Hadrianus (see HADRIAN). Several saints and six popes have borne this name, including the only English pope, Adrian IV, and the only Dutch pope, Adrian VI. As an English name, it has been in use since the Middle Ages, though it was not popular until modern times.	0
Adriana	Feminine form of ADRIAN.	1
Adrianna	Feminine form of ADRIAN.	1
Adrianne	Feminine form of ADRIAN.	1
Adriano	Italian and Portuguese form of ADRIAN.	0
Adrianus	Official Dutch form of ADRIAN, used on birth certificates but not commonly in daily life.	0
Adrien	French form of ADRIAN.	0
Adrienn	Hungarian feminine form of ADRIAN.	1
Adrienne	French feminine form of ADRIAN.	1
Adrijan	Croatian and Macedonian form of ADRIAN.	0
Adrijana	Slovene, Serbian, Croatian and Macedonian feminine form of ADRIAN.	1
Adva	Means "small wave, ripple" in Hebrew.	1
Adwoa	Means "born on Monday" in Akan.	1
ÆBbe	Old English form of EBBA  (2).	1
ÆLfgar	Old English form of ALGAR.	0
ÆLfgifu	Derived from the Old English elements ælf "elf" and giefu "gift". This was the name of the first wife of the English king Æðelræd II.	1
ÆLfheah	Derived from the Old English elements ælf "elf" and heah "high". This was the name of an 11th-century archbishop of Canterbury, a saint and martyr, who is commonly known as Alphege or Elphege.	0
ÆLfnoð	Derived from the Old English element ælf "elf" combined with noð "boldness, daring".	0
ÆLfræd	Old English form of ALFRED.	0
ÆLfric	Derived from the Old English elements ælf "elf" and ric "power, rule".	0
ÆLfsige	Derived from the Old English elements ælf "elf" and sige "victory".	0
ÆLfstan	Derived from the Old English elements ælf "elf" and stan "stone".	0
ÆLfswiþ	Derived from the Old English element ælf "elf" combined with swiþ "strong".	1
ÆLfþryð	Old English form of ELFREDA.	1
ÆLfthryth	Variant of Ælfþryð (see ELFREDA).	1
ÆLfweard	Derived from the Old English elements ælf "elf" and weard "guardian".	0
ÆLfwine	Derived from the Old English elements ælf "elf" and wine "friend". This name was not commonly used after the Norman conquest.	0
ÆLred	Contracted form of ÆÐELRÆD. This was the name of a 12th-century English saint.	0
ÆSc	Means "ash tree" in Old English. This was the nickname of a 5th-century king of Kent, whose birth name was Oeric.	0
ÆÐElberht	Old English cognate of Adalbert (see ALBERT). This was the name of a Saxon king of England and two kings of Kent, one of whom was a saint. It became unused after the Normans introduced their form of Adalbert after their invasion.	0
ÆÐElflæd	Old English form of ELFLEDA.	1
ÆÐElfrið	Derived from the Old English elements æðel "noble" and friþ "peace". The name was rarely used after the Norman conquest.	0
ÆÐElind	Old English form of ETHELINDA.	1
